,Unnamed: 0,stationId,geometry,x,y,maxTempJanuary,maxTempFebruary,maxTempMarch,maxTempApril,maxTempMay,maxTempJune,maxTempJuly,maxTempAugust,maxTempSeptember,maxTempOctober,maxTempNovember,maxTempDecember,yearlyAverage
23,23,6126,POINT (10.4398 55.3088),10.4398,55.3088,9.5,7.2,13.6,16.1,24.4,26.0,24.4,25.3,20.5,16.8,13.3,9.8,16.0
24,24,6096,POINT (8.559900000000001 55.1904),8.5599,55.1904,8.95,6.8,14.1,13.4,26.3,23.8,22.5,24.4,20.0,17.7,13.4,8.8,16.0
25,25,6132,POINT (10.6217 55.8315),10.6217,55.8315,9.15,6.6,10.6,15.0,22.2,24.8,24.1,23.5,18.3,16.6,12.9,9.7,15.0
26,26,6082,POINT (8.6242 55.9591),8.6242,55.9591,9.0,6.65,13.6,14.7,26.6,23.7,24.8,25.7,21.9,17.8,12.6,9.3,16.0
27,27,6093,POINT (8.655099999999999 55.2908),8.6551,55.2908,8.9,6.95,15.1,12.5,25.9,22.9,22.9,24.2,20.4,17.0,12.6,8.9,16.0
28,28,6168,POINT (12.3424 56.1193),12.3424,56.1193,9.15,6.4,13.2,14.1,25.0,23.5,22.8,23.6,18.6,15.9,11.7,8.6,15.0
29,29,6135,POINT (11.3879 55.3224),11.3879,55.3224,8.85,6.9,11.85,15.3,24.2,25.1,25.0,25.1,19.8,16.9,13.1,9.5,16.0
30,30,6186,POINT (12.5439 55.6861),12.5439,55.6861,9.75,7.15,13.95,17.8,26.4,26.1,24.0,24.4,20.5,17.3,13.2,10.6,17.0
31,31,6102,POINT (9.7872 55.868),9.7872,55.868,9.5,7.35,14.2,17.3,25.2,25.8,23.8,25.5,21.0,19.1,13.5,10.8,17.0
32,32,6116,POINT (9.1229 54.8986),9.1229,54.8986,9.95,7.75,15.85,16.2,24.3,25.0,24.2,25.5,21.4,19.7,13.5,9.3,17.0
33,33,6079,POINT (11.5098 56.7169),11.5098,56.7169,7.1,5.4,8.3,12.0,18.9,21.0,23.0,23.3,19.1,15.6,11.9,9.3,14.0
34,34,6147,POINT (12.1841 54.879),12.1841,54.879,8.4,6.550000000000001,9.9,15.8,23.6,25.9,23.4,23.5,18.6,15.2,12.5,9.2,15.0
35,35,6081,POINT (8.082800000000001 55.5575),8.0828,55.5575,8.05,5.85,9.55,12.8,21.8,21.5,22.5,24.2,19.3,16.4,13.3,9.3,14.0
36,36,6138,POINT (10.9939 54.8205),10.9939,54.8205,8.2,6.8500000000000005,13.4,13.2,23.3,24.8,24.8,24.7,19.7,16.1,12.6,8.3,16.0
37,37,6052,POINT (8.215 56.7068),8.215,56.7068,8.3,6.3,11.8,12.7,22.3,21.3,23.7,23.3,21.0,17.2,12.8,9.5,15.0
38,38,6051,POINT (8.3207 56.7637),8.3207,56.7637,8.15,6.65,12.35,12.5,22.5,21.2,23.4,23.2,21.8,17.8,12.3,9.5,15.0
39,39,6174,POINT (12.149 55.3955),12.149,55.3955,9.5,7.4,13.1,16.9,24.6,25.3,23.8,24.7,20.2,16.4,13.0,9.9,16.0
40,40,6159,POINT (10.8694 55.7435),10.8694,55.7435,7.8,5.5,8.7,13.6,20.0,22.6,22.0,24.5,19.7,16.8,12.2,8.5,14.0
41,41,6169,POINT (11.2787 56.0083),11.2787,56.0083,7.25,6.7,10.25,12.0,23.2,22.3,22.1,22.9,18.7,16.1,12.1,8.5,14.0
42,42,6156,POINT (11.6035 55.7358),11.6035,55.7358,9.9,6.949999999999999,14.05,16.0,25.3,24.7,25.2,25.4,20.4,17.1,13.0,9.9,16.0
43,43,6049,POINT (10.0929 56.5604),10.0929,56.5604,9.3,6.5,13.35,15.7,26.1,24.2,24.2,24.7,18.6,16.5,12.3,10.2,16.0
44,44,6124,POINT (10.5693 55.0144),10.5693,55.0144,8.4,7.0,11.3,14.9,24.0,25.7,24.8,25.6,20.3,16.9,12.7,8.4,16.0
